"CALLE";"NUMERO";"M2";"DOLARES";"U_S_M2";"AMBIENTES";"ANTIGUEDAD";"ORIENT";"BAULERA";"COCHERA";"BA�.OS";"LAVADERO";"TERRAZA";"BARRIO";"COMUNA";"LON";"LAT"
"95";"25 DE MAYO";800;134;390000;2910.4;0;80;"CONTRAFRENTE";"Si";"No";2;"No";"Si";"SAN NICOLAS";1;-58.3716409985724;-34.5984529631806
"96";"3 DE FEBRERO";326;326;790000;2423.3;5;35;"S/D";"Si";"Si";0;"Si";"No";"PALERMO";14;-58.4404799568861;-34.5707666627074
"97";"3 DE FEBRERO";900;49;126000;2571.4;2;NA;"S/D";"No";"No";0;"No";"No";"PALERMO";14;-58.4418285225802;-34.5699706389246
"98";"3 DE FEBRERO";900;56;126000;2250;2;NA;"FRENTE";"No";"No";0;"No";"Si";"PALERMO";14;-58.4418285225802;-34.5699706389246
"99";"3 DE FEBRERO";900;62;202000;3258.1;2;NA;"S/D";"No";"Si";1;"No";"Si";"PALERMO";14;-58.4418285225802;-34.5699706389246
"100";"3 DE FEBRERO";900;81;202000;2493.8;2;NA;"S/D";"No";"No";0;"No";"No";"PALERMO";14;-58.4418285225802;-34.5699706389246
"101";"3 DE FEBRERO";900;153;355000;2320.3;3;20;"FRENTE";"Si";"Si";2;"No";"No";"PALERMO";14;-58.4418285225802;-34.5699706389246
"102";"3 DE FEBRERO";900;186;480000;2580.6;4;18;"FRENTE";"Si";"Si";2;"Si";"No";"PALERMO";14;-58.4418285225802;-34.5699706389246
"103";"3 DE FEBRERO";900;190;498000;2621.1;5;15;"S/D";"Si";"No";0;"No";"No";"PALERMO";14;-58.4418285225802;-34.5699706389246
"104";"3 DE FEBRERO";900;206;550000;2669.9;5;33;"FRENTE";"Si";"No";2;"Si";"No";"PALERMO";14;-58.4418285225802;-34.5699706389246
"105";"3 DE FEBRERO";1000;64;250000;3906.3;3;0;"FRENTE";"No";"Si";2;"No";"Si";"PALERMO";14;-58.4430651351961;-34.569417731542
"106";"3 DE FEBRERO";1200;130;315000;2423.1;3;45;"FRENTE";"Si";"Si";3;"Si";"Si";"PALERMO";14;-58.4445355323882;-34.568314284772
"107";"3 DE FEBRERO";1200;174;490000;2816.1;4;35;"FRENTE";"Si";"Si";2;"No";"Si";"PALERMO";14;-58.4445355323882;-34.568314284772
"108";"3 DE FEBRERO";1200;300;880000;2933.3;5;25;"FRENTE";"Si";"Si";2;"Si";"Si";"PALERMO";14;-58.4445355323882;-34.568314284772
"109";"3 DE FEBRERO";1300;122;260000;2131.1;0;50;"FRENTE";"Si";"No";1;"Si";"No";"PALERMO";14;-58.4455320288681;-34.5671582431455
"110";"3 DE FEBRERO";1300;128;350000;2734.4;4;40;"FRENTE";"Si";"Si";3;"Si";"Si";"PALERMO";14;-58.4455320288681;-34.5671582431455
"111";"3 DE FEBRERO";1400;175;530000;3028.6;5;NA;"S/D";"Si";"Si";3;"Si";"No";"PALERMO";14;-58.4465347127673;-34.565981571857
"112";"3 DE FEBRERO";1400;180;470000;2611.1;5;40;"FRENTE";"No";"No";0;"Si";"No";"PALERMO";14;-58.4465347127673;-34.565981571857
"113";"3 DE FEBRERO";1400;285;980000;3438.6;5;20;"S/D";"Si";"Si";4;"Si";"Si";"PALERMO";14;-58.4465347127673;-34.565981571857
"114";"3 DE FEBRERO";1400;307;1150000;3745.9;5;36;"S/D";"No";"Si";3;"Si";"No";"PALERMO";14;-58.4465347127673;-34.565981571857
"115";"3 DE FEBRERO";1400;348;1150000;3304.6;5;36;"S/D";"Si";"Si";2;"Si";"Si";"PALERMO";14;-58.4465347127673;-34.565981571857
"116";"3 DE FEBRERO";1500;220;750000;3409.1;4;20;"FRENTE";"Si";"Si";4;"Si";"Si";"BELGRANO";13;-58.4473462190948;-34.5650302691693
"117";"3 DE FEBRERO";1600;230;980000;4260.9;5;20;"S/D";"Si";"Si";0;"Si";"Si";"BELGRANO";13;-58.4481319335238;-34.5641104726257
"118";"3 DE FEBRERO";1600;330;910000;2757.6;5;27;"S/D";"Si";"Si";3;"Si";"No";"BELGRANO";13;-58.4481319335238;-34.5641104726257
